,startTimeLocal,activityName,activityType,distance,duration,averageHR,averageSpeed,pace,date,month,year
0,2025-02-08 06:31:11,Maricopa County - Mesa Marathon,running,26.35827225757143,203.831494140625,169.0,3.4690001010894775,7.733112859173624,2025-02-08 06:31:11,2,2025
1,2025-02-07 07:56:13,Austin Running,running,3.0098548987861484,29.054317220052084,149.0,2.7790000438690186,9.65306242230131,2025-02-07 07:56:13,2,2025
2,2025-02-05 16:19:18,Austin Running,running,4.008693065266662,38.3885986328125,151.0,2.8010001182556152,9.576337725986226,2025-02-05 16:19:18,2,2025
3,2025-02-04 19:23:36,Austin Running,running,5.0082642573974425,47.289815266927086,155.0,2.8410000801086426,9.442356240902784,2025-02-04 19:23:36,2,2025
4,2025-02-03 18:44:53,Austin Running,running,6.029540108445077,58.22025146484375,151.0,2.778000116348266,9.655836169544584,2025-02-03 18:44:53,2,2025
5,2025-02-02 19:01:24,Austin Running,running,8.01209839417867,74.29241536458333,154.0,2.8929998874664307,9.272529081590134,2025-02-02 19:01:24,2,2025
6,2025-02-01 08:26:47,Austin Running,running,10.09674142427952,94.50669759114584,160.0,2.865999937057495,9.360118638265476,2025-02-01 08:26:47,2,2025
7,2025-01-31 06:40:09,Austin Running,running,6.0449809782271,58.323649088541664,155.0,2.7799999713897705,9.648276694105842,2025-01-31 06:40:09,1,2025
8,2025-01-30 16:52:58,Austin Running,running,8.024743086645769,72.886279296875,158.0,2.953000068664551,9.08269317907104,2025-01-30 16:52:58,1,2025
9,2025-01-28 15:57:45,Austin Running,running,12.011346169081737,94.03285319010416,170.0,3.4260001182556152,7.8286689823454605,2025-01-28 15:57:45,1,2025
10,2025-01-27 17:08:41,Austin Running,running,6.055948449752694,56.3148681640625,145.0,2.884000062942505,9.299099659007538,2025-01-27 17:08:41,1,2025
11,2025-01-26 16:29:37,Austin Running,running,8.059626733629935,77.41114908854166,151.0,2.7929999828338623,9.60480573691244,2025-01-26 16:29:37,1,2025
12,2025-01-25 07:23:49,Austin Running,running,16.023102104356447,150.483203125,157.0,2.855999946594238,9.39163978017002,2025-01-25 07:23:49,1,2025
13,2025-01-24 16:44:47,Austin Running,running,8.015018360593473,75.56063639322916,151.0,2.8450000286102295,9.427381572165764,2025-01-24 16:44:47,1,2025
14,2025-01-23 14:23:08,Austin Running,running,11.01773354100128,86.31175130208334,174.0,3.4240000247955327,7.83389351184467,2025-01-23 14:23:08,1,2025
15,2025-01-21 15:56:13,Austin - 2 x 3 Miles Workout,running,11.028875773609057,88.41163736979166,170.0,3.3459999561309814,8.01637802298503,2025-01-21 15:56:13,1,2025
16,2025-01-20 11:33:23,Austin Running,running,6.041091330529907,54.7212158203125,149.0,2.9609999656677246,9.058167279108577,2025-01-20 11:33:23,1,2025
17,2025-01-19 07:30:19,Austin Running,running,13.180384942352145,96.02986653645833,176.0,3.680999994277954,7.285816533922949,2025-01-19 07:30:19,1,2025
18,2025-01-19 06:53:43,Austin Running,running,1.4591571882242877,12.960599772135417,150.0,3.0199999809265137,8.882250573639526,2025-01-19 06:53:43,1,2025
19,2025-01-18 09:17:33,Austin Running,running,4.400841460047286,38.9711181640625,159.0,3.029000043869019,8.855378799227129,2025-01-18 09:17:33,1,2025
20,2025-01-16 16:59:35,Austin Running,running,7.067829072205066,63.26823323567708,155.0,2.996000051498413,8.951579415592496,2025-01-16 16:59:35,1,2025
21,2025-01-15 17:00:42,Austin Running,running,8.024171472272796,71.3183837890625,158.0,3.0179998874664307,8.887943638231102,2025-01-15 17:00:42,1,2025
22,2025-01-14 16:26:55,Austin Running,running,8.021735739689873,69.22406412760417,156.0,3.1080000400543217,8.629561777396624,2025-01-14 16:26:55,1,2025
23,2025-01-13 17:22:06,Austin Running,running,8.027849950329017,69.827783203125,151.0,3.0840001106262207,8.69819237220087,2025-01-13 17:22:06,1,2025
24,2025-01-12 18:20:46,Austin Running,running,3.5338462700548052,30.923032633463542,149.0,3.0650000572204594,8.750531367337597,2025-01-12 18:20:46,1,2025
25,2025-01-11 08:18:15,Austin Running,running,16.01996490020754,143.45719401041666,158.0,2.994999885559082,8.954900644542496,2025-01-11 08:18:15,1,2025
